,0,1,document,corpus,clusters
0,-34.07098,53.816395,ger_PubMedCaseAbstract_11963741.txt,de.PubMed,0
1,-27.516315,44.808342,ger_PubMedCaseAbstract_12243042.txt,de.PubMed,0
2,-26.649307,43.02145,ger_PubMedCaseAbstract_12434268.txt,de.PubMed,0
3,-27.31427,56.233696,ger_PubMedCaseAbstract_18299842.txt,de.PubMed,0
4,-28.129808,51.707428,ger_PubMedCaseAbstract_20186377.txt,de.PubMed,0
5,-26.430393,42.490788,ger_PubMedCaseAbstract_21468328.txt,de.PubMed,0
6,41.594975,-13.156083,ger_PubMedCaseAbstract_23341221.txt,de.PubMed,0
7,-3.5984552,54.30138,ger_PubMedCaseAbstract_23468341.txt,de.PubMed,1
8,-32.089275,54.75427,ger_PubMedCaseAbstract_23644242.txt,de.PubMed,0
9,-26.373951,46.615498,ger_PubMedCaseAbstract_23692907.txt,de.PubMed,0
10,-26.70874,54.149918,ger_PubMedCaseAbstract_23692908.txt,de.PubMed,0
11,-27.696016,54.283897,ger_PubMedCaseAbstract_23732450.txt,de.PubMed,0
12,-32.11617,54.005928,ger_PubMedCaseAbstract_23735767.txt,de.PubMed,0
13,-31.4888,51.188015,ger_PubMedCaseAbstract_23773942.txt,de.PubMed,0
14,-30.777905,57.36683,ger_PubMedCaseAbstract_23823687.txt,de.PubMed,0
15,-28.275555,55.945164,ger_PubMedCaseAbstract_23876691.txt,de.PubMed,0
16,-25.09373,47.33175,ger_PubMedCaseAbstract_23876750.txt,de.PubMed,0
17,-32.320133,55.378883,ger_PubMedCaseAbstract_23876752.txt,de.PubMed,0
18,-33.28153,55.17468,ger_PubMedCaseAbstract_23919937.txt,de.PubMed,0
19,-22.610594,51.73229,ger_PubMedCaseAbstract_23919941.txt,de.PubMed,0
20,-13.213936,52.766136,ger_PubMedCaseAbstract_23919973.txt,de.PubMed,0
21,-28.383245,53.175453,ger_PubMedCaseAbstract_24025177.txt,de.PubMed,0
22,-0.732482,52.26636,ger_PubMedCaseAbstract_24091231.txt,de.PubMed,1
23,-34.177864,51.90387,ger_PubMedCaseAbstract_24168773.txt,de.PubMed,0
24,-30.27532,59.009743,ger_PubMedCaseAbstract_24169483.txt,de.PubMed,0
25,-23.866531,58.252983,ger_PubMedCaseAbstract_24240493.txt,de.PubMed,0
26,-33.623108,52.220512,ger_PubMedCaseAbstract_24280603.txt,de.PubMed,0
27,-32.500725,53.572582,ger_PubMedCaseAbstract_24297860.txt,de.PubMed,0
28,-26.794636,51.624603,ger_PubMedCaseAbstract_24468456.txt,de.PubMed,0
29,-28.68511,53.766216,ger_PubMedCaseAbstract_24518239.txt,de.PubMed,0
30,-4.6707296,59.0049,ger_PubMedCaseAbstract_24568764.txt,de.PubMed,1
31,-15.60778,56.081356,ger_PubMedCaseAbstract_24568858.txt,de.PubMed,0
32,-24.384186,53.57809,ger_PubMedCaseAbstract_24670544.txt,de.PubMed,0
33,-15.795718,48.264683,ger_PubMedCaseAbstract_24686758.txt,de.PubMed,0
34,-26.874186,53.866375,ger_PubMedCaseAbstract_24686761.txt,de.PubMed,0
35,-7.526282,56.430145,ger_PubMedCaseAbstract_24686818.txt,de.PubMed,1
36,-20.493126,55.385086,ger_PubMedCaseAbstract_24713382.txt,de.PubMed,0
37,-25.798212,46.33504,ger_PubMedCaseAbstract_24755501.txt,de.PubMed,0
38,-29.69478,59.265285,ger_PubMedCaseAbstract_24846889.txt,de.PubMed,0
39,-29.173018,50.08927,ger_PubMedCaseAbstract_24846891.txt,de.PubMed,0
40,-24.96724,55.213078,ger_PubMedCaseAbstract_24867241.txt,de.PubMed,0
41,-24.607962,46.97225,ger_PubMedCaseAbstract_24938160.txt,de.PubMed,0
42,-30.190933,59.562412,ger_PubMedCaseAbstract_24973321.txt,de.PubMed,0
43,-29.270025,46.17995,ger_PubMedCaseAbstract_24973322.txt,de.PubMed,0
44,1.046866,51.30913,ger_PubMedCaseAbstract_25051933.txt,de.PubMed,1
45,-26.174355,48.485466,ger_PubMedCaseAbstract_25146947.txt,de.PubMed,0
46,-23.056368,58.193623,ger_PubMedCaseAbstract_25183676.txt,de.PubMed,0
47,-27.889235,54.028767,ger_PubMedCaseAbstract_25270750.txt,de.PubMed,0
48,-32.14514,50.571358,ger_PubMedCaseAbstract_25305113.txt,de.PubMed,0
49,-30.8858,47.433887,ger_PubMedCaseAbstract_25305119.txt,de.PubMed,0
50,-33.121986,52.820484,ger_PubMedCaseAbstract_25351696.txt,de.PubMed,0
51,-25.36999,52.267643,ger_PubMedCaseAbstract_25359116.txt,de.PubMed,0
52,-32.94506,58.447826,ger_PubMedCaseAbstract_25391740.txt,de.PubMed,0
53,-29.736877,53.613087,ger_PubMedCaseAbstract_25446682.txt,de.PubMed,0
54,-29.047514,59.57874,ger_PubMedCaseAbstract_25446685.txt,de.PubMed,0
55,-28.599468,45.84385,ger_PubMedCaseAbstract_25447083.txt,de.PubMed,0
56,-33.199787,57.02621,ger_PubMedCaseAbstract_25447084.txt,de.PubMed,0
57,-28.764833,52.91572,ger_PubMedCaseAbstract_25491055.txt,de.PubMed,0
58,-32.28857,47.56653,ger_PubMedCaseAbstract_25533251.txt,de.PubMed,0
59,-20.942564,55.52094,ger_PubMedCaseAbstract_25533252.txt,de.PubMed,0
60,-13.236901,52.46164,ger_PubMedCaseAbstract_25533259.txt,de.PubMed,0
61,-32.19908,53.50148,ger_PubMedCaseAbstract_25536894.txt,de.PubMed,0
62,-33.91158,57.75622,ger_PubMedCaseAbstract_25552446.txt,de.PubMed,0
