,0,1,document,corpus,collection,language,cluster
0,-8.211219,57.368313,ASSESS_6.txt,[de.Clin] ASSESS_DE,de.Clin,German,0
1,27.601469,63.05326,ASSESS_5.txt,[de.Clin] ASSESS_DE,de.Clin,German,1
2,-8.29226,57.452213,ASSESS_4.txt,[de.Clin] ASSESS_DE,de.Clin,German,0
3,-8.191915,57.346664,ASSESS_3.txt,[de.Clin] ASSESS_DE,de.Clin,German,0
4,25.145739,61.746433,ASSESS_2.txt,[de.Clin] ASSESS_DE,de.Clin,German,1
5,7.9330077,50.761864,ASSESS_1.txt,[de.Clin] ASSESS_DE,de.Clin,German,2
6,33.022675,35.35738,randomSentSet1.txt,[de.Clin] BRONCO150,de.Clin,German,3
7,33.036335,35.326477,randomSentSet3.txt,[de.Clin] BRONCO150,de.Clin,German,3
8,33.026115,35.340195,randomSentSet4.txt,[de.Clin] BRONCO150,de.Clin,German,3
9,33.02713,35.3363,randomSentSet5.txt,[de.Clin] BRONCO150,de.Clin,German,3
10,33.035378,35.34316,randomSentSet2.txt,[de.Clin] BRONCO150,de.Clin,German,3
11,29.930923,48.519318,S5_2_P77_Rx_10.txt,[de.Clin] Ex4CDS,de.Clin,German,1
12,36.04505,-36.457912,S5_2_P77_Inf_80.txt,[de.Clin] Ex4CDS,de.Clin,German,4
13,27.392391,67.232086,S7_2_P2_Inf_60.txt,[de.Clin] Ex4CDS,de.Clin,German,5
14,-2.4930098,-31.46195,S5_2_P70_Rx_1.txt,[de.Clin] Ex4CDS,de.Clin,German,6
15,-14.721039,62.592953,S5_2_P70_Inf_80.txt,[de.Clin] Ex4CDS,de.Clin,German,7
16,24.780445,-48.75698,S5_2_P56_Rx_90.txt,[de.Clin] Ex4CDS,de.Clin,German,4
17,25.09744,-48.50483,S5_2_P56_Inf_20.txt,[de.Clin] Ex4CDS,de.Clin,German,4
18,29.863182,46.72185,S5_2_P49_TxV_25.txt,[de.Clin] Ex4CDS,de.Clin,German,1
19,35.835857,39.95732,S5_2_P70_TxV_5.txt,[de.Clin] Ex4CDS,de.Clin,German,8
20,38.313396,-54.111576,S5_2_P56_TxV_50.txt,[de.Clin] Ex4CDS,de.Clin,German,4
21,45.15841,38.696587,S5_2_P77_TxV_75.txt,[de.Clin] Ex4CDS,de.Clin,German,1
22,5.5595827,56.09005,S5_2_P87_Inf_10.txt,[de.Clin] Ex4CDS,de.Clin,German,9
23,30.120821,48.46832,S5_2_P87_Rx_1.txt,[de.Clin] Ex4CDS,de.Clin,German,1
24,4.901061,66.04922,S5_2_P87_TxV_10.txt,[de.Clin] Ex4CDS,de.Clin,German,9
25,53.39209,37.3506,S5_2_P95_Inf_25.txt,[de.Clin] Ex4CDS,de.Clin,German,1
26,45.519592,-51.08352,S5_2_P95_Rx_1.txt,[de.Clin] Ex4CDS,de.Clin,German,4
27,45.695625,-51.34518,S5_2_P95_TxV_1.txt,[de.Clin] Ex4CDS,de.Clin,German,4
28,34.428795,44.53943,S5_2_P9_Inf_1.txt,[de.Clin] Ex4CDS,de.Clin,German,1
29,31.419537,-48.37747,S5_2_P9_Rx_1.txt,[de.Clin] Ex4CDS,de.Clin,German,4
30,29.888786,46.738914,S5_2_P49_Rx_25.txt,[de.Clin] Ex4CDS,de.Clin,German,1
31,47.03676,37.227394,S5_2_P49_Inf_30.txt,[de.Clin] Ex4CDS,de.Clin,German,1
32,34.56784,-57.632748,S5_2_P42_TxV_25.txt,[de.Clin] Ex4CDS,de.Clin,German,4
33,2.8475587,51.07188,S5_2_P46_Rx_1.txt,[de.Clin] Ex4CDS,de.Clin,German,-1
34,50.4091,-44.06629,S5_1_P97_Rx_5.txt,[de.Clin] Ex4CDS,de.Clin,German,4
35,46.342735,-52.661102,S5_1_P97_TxV_5.txt,[de.Clin] Ex4CDS,de.Clin,German,4
36,13.058768,-25.982307,S5_2_P100_Inf_80.txt,[de.Clin] Ex4CDS,de.Clin,German,10
37,46.224743,-54.131424,S5_2_P100_Rx_10.txt,[de.Clin] Ex4CDS,de.Clin,German,4
38,-1.7056987,-32.81366,S5_2_P100_TxV_5.txt,[de.Clin] Ex4CDS,de.Clin,German,6
39,46.23667,37.62204,S5_2_P107_Inf_20.txt,[de.Clin] Ex4CDS,de.Clin,German,1
40,26.215664,63.91979,S5_2_P107_Rx_10.txt,[de.Clin] Ex4CDS,de.Clin,German,1
41,30.158756,48.56664,S5_2_P107_TxV_1.txt,[de.Clin] Ex4CDS,de.Clin,German,1
42,23.464573,64.71816,S5_2_P12_Inf_30.txt,[de.Clin] Ex4CDS,de.Clin,German,1
43,23.72999,63.526478,S5_2_P12_Rx_25.txt,[de.Clin] Ex4CDS,de.Clin,German,1
44,23.815628,63.0325,S5_2_P12_TxV_80.txt,[de.Clin] Ex4CDS,de.Clin,German,1
45,2.8475587,51.07188,S5_2_P46_TxV_1.txt,[de.Clin] Ex4CDS,de.Clin,German,-1
46,45.829037,37.53073,S5_2_P20_Inf_50.txt,[de.Clin] Ex4CDS,de.Clin,German,1
47,24.763554,58.04483,S5_2_P20_TxV_60.txt,[de.Clin] Ex4CDS,de.Clin,German,1
48,-27.113066,24.62406,S5_2_P21_Inf_5.txt,[de.Clin] Ex4CDS,de.Clin,German,11
49,-2.4930098,-31.46195,S5_2_P21_Rx_1.txt,[de.Clin] Ex4CDS,de.Clin,German,6
50,-2.4956512,-31.498169,S5_2_P21_TxV_1.txt,[de.Clin] Ex4CDS,de.Clin,German,6
51,33.397316,49.681065,S5_2_P29_Inf_75.txt,[de.Clin] Ex4CDS,de.Clin,German,1
52,-30.42577,48.132988,S5_2_P29_Rx_10.txt,[de.Clin] Ex4CDS,de.Clin,German,7
53,30.401777,48.626328,S5_2_P29_TxV_5.txt,[de.Clin] Ex4CDS,de.Clin,German,1
54,40.780846,46.02027,S5_2_P42_Inf_50.txt,[de.Clin] Ex4CDS,de.Clin,German,1
55,25.228647,54.70331,S5_2_P42_Rx_50.txt,[de.Clin] Ex4CDS,de.Clin,German,1
56,31.419537,-48.37747,S5_2_P9_TxV_1.txt,[de.Clin] Ex4CDS,de.Clin,German,4
57,30.64858,48.6778,S5_2_P46_Inf_20.txt,[de.Clin] Ex4CDS,de.Clin,German,1
58,24.748775,55.22036,S5_2_P20_Rx_10.txt,[de.Clin] Ex4CDS,de.Clin,German,1
59,59.241222,55.10473,S6_1_P101_Inf_0.txt,[de.Clin] Ex4CDS,de.Clin,German,1
60,5.0981574,19.739243,S6_1_P13_Rx_30.txt,[de.Clin] Ex4CDS,de.Clin,German,12
61,-49.62971,16.15764,S6_1_P101_TxV_20.txt,[de.Clin] Ex4CDS,de.Clin,German,11
62,-39.616257,-30.551601,S6_1_P83_TxV_40.txt,[de.Clin] Ex4CDS,de.Clin,German,13
63,27.35611,50.074657,S6_1_P85_Inf_80.txt,[de.Clin] Ex4CDS,de.Clin,German,1
64,-22.077818,68.477425,S6_1_P85_Rx_20.txt,[de.Clin] Ex4CDS,de.Clin,German,7
65,-45.18197,24.207659,S6_1_P85_TxV_50.txt,[de.Clin] Ex4CDS,de.Clin,German,11
66,-12.94507,-34.30733,S6_1_P86_Inf_0.txt,[de.Clin] Ex4CDS,de.Clin,German,13
67,-12.94507,-34.30733,S6_1_P86_Rx_0.txt,[de.Clin] Ex4CDS,de.Clin,German,13
68,-12.94507,-34.30733,S6_1_P86_TxV_0.txt,[de.Clin] Ex4CDS,de.Clin,German,13
69,-31.662878,59.83594,S6_1_P92_Inf_0.txt,[de.Clin] Ex4CDS,de.Clin,German,7
70,-27.752468,65.47475,S6_1_P92_Rx_0.txt,[de.Clin] Ex4CDS,de.Clin,German,7
71,51.682484,37.95343,S6_1_P92_TxV_0.txt,[de.Clin] Ex4CDS,de.Clin,German,1
72,-29.344208,58.65912,S6_1_P96_Inf_30.txt,[de.Clin] Ex4CDS,de.Clin,German,7
73,35.056095,66.29534,S6_1_P83_Rx_0.txt,[de.Clin] Ex4CDS,de.Clin,German,14
74,-19.176334,64.983864,S6_1_P96_Rx_20.txt,[de.Clin] Ex4CDS,de.Clin,German,7
75,-6.4050655,-35.322727,S6_2_P115_Inf_30.txt,[de.Clin] Ex4CDS,de.Clin,German,13
76,-32.42625,64.73037,S6_2_P115_Rx_20.txt,[de.Clin] Ex4CDS,de.Clin,German,7
77,-18.39386,65.174034,S6_2_P115_TxV_0.txt,[de.Clin] Ex4CDS,de.Clin,German,7
78,-47.724045,-29.310106,S6_2_P118_Inf_20.txt,[de.Clin] Ex4CDS,de.Clin,German,13
79,-10.605395,25.29847,S6_2_P118_Rx_60.txt,[de.Clin] Ex4CDS,de.Clin,German,15
80,-58.34287,9.084123,S6_2_P118_TxV_60.txt,[de.Clin] Ex4CDS,de.Clin,German,11
81,49.798325,36.240154,S6_2_P15_Inf_50.txt,[de.Clin] Ex4CDS,de.Clin,German,1
82,30.751268,65.26013,S6_2_P15_Rx_30.txt,[de.Clin] Ex4CDS,de.Clin,German,1
83,10.883239,51.76908,S6_2_P15_TxV_30.txt,[de.Clin] Ex4CDS,de.Clin,German,-1
84,40.856953,39.132973,S6_2_P18_Inf_60.txt,[de.Clin] Ex4CDS,de.Clin,German,-1
85,-26.623411,54.97906,S6_2_P18_Rx_20.txt,[de.Clin] Ex4CDS,de.Clin,German,7
86,-45.3162,22.90454,S6_1_P96_TxV_30.txt,[de.Clin] Ex4CDS,de.Clin,German,11
87,-29.041698,64.763756,S6_1_P101_Rx_40.txt,[de.Clin] Ex4CDS,de.Clin,German,7
88,-24.842972,62.42451,S6_1_P83_Inf_70.txt,[de.Clin] Ex4CDS,de.Clin,German,7
89,-17.920649,65.654526,S6_1_P61_Rx_70.txt,[de.Clin] Ex4CDS,de.Clin,German,7
90,-0.056230523,61.639156,S6_1_P13_Inf_30.txt,[de.Clin] Ex4CDS,de.Clin,German,9
91,33.4474,50.588875,S5_1_P97_Inf_20.txt,[de.Clin] Ex4CDS,de.Clin,German,1
92,-28.920023,50.883183,S6_1_P13_TxV_80.txt,[de.Clin] Ex4CDS,de.Clin,German,7
93,-25.109732,60.41604,S6_1_P14_Inf_60.txt,[de.Clin] Ex4CDS,de.Clin,German,7
94,-28.38416,66.106544,S6_1_P14_Rx_0.txt,[de.Clin] Ex4CDS,de.Clin,German,7
95,-26.280016,58.691887,S6_1_P14_TxV_20.txt,[de.Clin] Ex4CDS,de.Clin,German,7
96,35.056095,66.29534,S6_1_P19_Rx_20.txt,[de.Clin] Ex4CDS,de.Clin,German,14
